week_start,asof_date,universe_version,db_version,run_id,section,row_type,row_no,priority,theme,theme_rank,theme_heat_score,theme_heat_wow,heat_z,ir_z,search_z,margin_z,avg_volume,overall_rank,code,company,market,tag,fit_score,total_score,weekly_volume,ret_1w,reason,portfolio_rule,headline,note,commentary
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,MANIFEST,ROW,1,1,,,,,,,,,,,,,,,,,,,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,HEADER,0,1,,,,,,,,,,,,,,,,,,,,,🔥 注目テーマ（TOP5）,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,ROW,1,1,SaaS,1.0,62.952195234514384,8.843653507885634,,1.0614497648109202,0.3893441404121931,0.7862400194006246,1337006.0606060603,,,,,,,,,,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,ROW,2,2,AI,2.0,62.19404398235786,13.38867619999322,,1.224744871391589,-0.7805179188977307,2.15246647653122,4220521.875,,,,,,,,,,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,ROW,3,3,サイバーセキュリティ,3.0,61.87891137277656,6.031577580732417,,0.8050473686826042,0.2689790368803134,1.1366313386864115,,,,,,,,,,,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,ROW,4,4,半導体,4.0,55.1989797887169,3.910049613863144,,0.8325438908874666,-0.1306373773482379,-0.3143398503022864,11075728.57142857,,,,,,,,,,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,THEME_TOP5,ROW,5,5,EV・電池,5.0,,,,1.129012048396349,,0.008346565734898,,,,,,,,,,,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,HEADER,0,1,,,,,,,,,,,,,,,,,,,,,💰 今週の買い（横断TOP5・均等）,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,ROW,1,1,,,,,,,,,,1.0,5599.0,Ｓ＆Ｊ,,押し目,90.0,233.3082966897628,287800.0,-0.07008547008547,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,ROW,2,2,,,,,,,,,,2.0,6228.0,ジェイ・イー・ティ,,押し目,75.0,148.18087797126017,769600.0,-0.1248357424441524,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,ROW,3,3,,,,,,,,,,3.0,1966.0,高田工業所,,押し目,60.0,113.37052245511764,79700.0,-0.0343901128425577,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,ROW,4,4,,,,,,,,,,4.0,4662.0,フォーカスシステムズ,,押し目,40.0,88.16803490293172,486200.0,-0.0425068119891007,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,BUY_TOP5,ROW,5,5,,,,,,,,,,5.0,6050.0,イー・ガーディアン,,押し目,40.0,88.16803490293172,292800.0,-0.0281030444964871,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,WATCH_SURGE,HEADER,0,1,,,,,,,,,,,,,,,,,,,,,👀 監視（急騰：買わない）,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,WATCH_SURGE,ROW,1,1,,,,,,,,,,,6702.0,富士通,,押し目+急騰テーマ,90.0,235.61461924617225,63502400.0,-0.0863880457623161,,,,,
2026-02-02,2026-02-21,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260221_1544,WATCH_SURGE,ROW,2,2,,,,,,,,,,,2980.0,ＳＲＥホールディングス,,押し目+急騰テーマ,85.0,219.9955688094234,3038600.0,-0.1694915254237288,,,,,
